file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,199,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,18
style.css,200,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,7
style.css,201,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,14
style.css,202,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,22
style.css,203,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,204,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,205,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,17
style.css,206,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,16
style.css,207,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,2,11
style.css,208,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,0
style.css,209,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,4
style.css,210,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,16
style.css,211,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,0
style.css,212,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,213,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,214,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,9
style.css,215,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,49
style.css,216,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,217,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,10
style.css,218,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,2,17
style.css,219,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,0
